Feedback,Corrected,Sentiment,Stars
Feedback,Feedback,Neutral,3
The product quality is excellent and delivery was fast.,The product quality is excellent and delivery was fast.,Positive,5
Customer service was very helpful and polite.,Customer service was very helpful and polite.,Positive,4
Absolutely love this! Will definitely buy again.,Absolutely love this! Will definitely buy again.,Positive,5
The item arrived broken and the return process was difficult.,The item arrived broken and the return process was difficult.,Negative,1
"Not satisfied with the purchase, it did not meet my expectations.","Not satisfied with the purchase, it did not meet my expectations.",Negative,2
"Amazing experience, everything went smoothly.","Amazing experience, everything went smoothly.",Positive,5
"Poor packaging, the product was damaged.","Door packing, the product was damaged.",Negative,1
"Great value for money, highly recommend it.","Great value for money, highly recommend it.",Positive,5
"Very happy with my purchase, exceeded my expectations.","Very happy with my purchase, exceeded my expectations.",Positive,5
